Intents,queries,response1,response2
event,Are there any event held at college,"Our college organizes various events throughout the year, including academic conferences, cultural festivals, sports activities, and more. For the complete list of events and their details, please visit: https://ucp.edu.pk/event/","Yes, our college hosts numerous events like workshops, seminars, competitions, and celebrations. To explore the list of upcoming and past events, check out our official events page:  https://ucp.edu.pk/event/ "
event,Events?,"Our college organizes various events throughout the year, including academic conferences, cultural festivals, sports activities, and more. For the complete list of events and their details, please visit: https://ucp.edu.pk/event/","Yes, our college hosts numerous events like workshops, seminars, competitions, and celebrations. To explore the list of upcoming and past events, check out our official events page:  https://ucp.edu.pk/event/ "
event,functions,"Our college organizes various events throughout the year, including academic conferences, cultural festivals, sports activities, and more. For the complete list of events and their details, please visit: https://ucp.edu.pk/event/","Yes, our college hosts numerous events like workshops, seminars, competitions, and celebrations. To explore the list of upcoming and past events, check out our official events page:  https://ucp.edu.pk/event/ "
event,what are the events,"Our college organizes various events throughout the year, including academic conferences, cultural festivals, sports activities, and more. For the complete list of events and their details, please visit: https://ucp.edu.pk/event/","Yes, our college hosts numerous events like workshops, seminars, competitions, and celebrations. To explore the list of upcoming and past events, check out our official events page:  https://ucp.edu.pk/event/ "
event,tell me about events,"Our college organizes various events throughout the year, including academic conferences, cultural festivals, sports activities, and more. For the complete list of events and their details, please visit: https://ucp.edu.pk/event/","Yes, our college hosts numerous events like workshops, seminars, competitions, and celebrations. To explore the list of upcoming and past events, check out our official events page:  https://ucp.edu.pk/event/ "
event,what about events,"Our college organizes various events throughout the year, including academic conferences, cultural festivals, sports activities, and more. For the complete list of events and their details, please visit: https://ucp.edu.pk/event/","Yes, our college hosts numerous events like workshops, seminars, competitions, and celebrations. To explore the list of upcoming and past events, check out our official events page:  https://ucp.edu.pk/event/ "
document,document to bring,"To complete your admission process, specific documents are required. Please refer to the official handbook for a detailed list of the documents needed: //ucp.edu.pk/inc/uploads/2019/01/UCP-HandBook-UnderGraduate-Studies.pdf","The documents required for admission include academic certificates, CNIC/B-Form, photographs, and other relevant documents. For a comprehensive list, please visit: //ucp.edu.pk/inc/uploads/2019/01/UCP-HandBook-UnderGraduate-Studies.pdf"
document,documents needed for admision,"To complete your admission process, specific documents are required. Please refer to the official handbook for a detailed list of the documents needed: //ucp.edu.pk/inc/uploads/2019/02/UCP-HandBook-UnderGraduate-Studies.pdf","The documents required for admission include academic certificates, CNIC/B-Form, photographs, and other relevant documents. For a comprehensive list, please visit: //ucp.edu.pk/inc/uploads/2019/02/UCP-HandBook-UnderGraduate-Studies.pdf"
document,documents needed at the time of admission,"To complete your admission process, specific documents are required. Please refer to the official handbook for a detailed list of the documents needed: //ucp.edu.pk/inc/uploads/2019/03/UCP-HandBook-UnderGraduate-Studies.pdf","The documents required for admission include academic certificates, CNIC/B-Form, photographs, and other relevant documents. For a comprehensive list, please visit: //ucp.edu.pk/inc/uploads/2019/03/UCP-HandBook-UnderGraduate-Studies.pdf"
document,documents needed during admission,"To complete your admission process, specific documents are required. Please refer to the official handbook for a detailed list of the documents needed: //ucp.edu.pk/inc/uploads/2019/04/UCP-HandBook-UnderGraduate-Studies.pdf","The documents required for admission include academic certificates, CNIC/B-Form, photographs, and other relevant documents. For a comprehensive list, please visit: //ucp.edu.pk/inc/uploads/2019/04/UCP-HandBook-UnderGraduate-Studies.pdf"
document,documents required for admision,"To complete your admission process, specific documents are required. Please refer to the official handbook for a detailed list of the documents needed: //ucp.edu.pk/inc/uploads/2019/05/UCP-HandBook-UnderGraduate-Studies.pdf","The documents required for admission include academic certificates, CNIC/B-Form, photographs, and other relevant documents. For a comprehensive list, please visit: //ucp.edu.pk/inc/uploads/2019/05/UCP-HandBook-UnderGraduate-Studies.pdf"
document,documents required at the time of admission,"To complete your admission process, specific documents are required. Please refer to the official handbook for a detailed list of the documents needed: //ucp.edu.pk/inc/uploads/2019/06/UCP-HandBook-UnderGraduate-Studies.pdf","The documents required for admission include academic certificates, CNIC/B-Form, photographs, and other relevant documents. For a comprehensive list, please visit: //ucp.edu.pk/inc/uploads/2019/06/UCP-HandBook-UnderGraduate-Studies.pdf"
document,documents required during admission,"To complete your admission process, specific documents are required. Please refer to the official handbook for a detailed list of the documents needed: //ucp.edu.pk/inc/uploads/2019/07/UCP-HandBook-UnderGraduate-Studies.pdf","The documents required for admission include academic certificates, CNIC/B-Form, photographs, and other relevant documents. For a comprehensive list, please visit: //ucp.edu.pk/inc/uploads/2019/07/UCP-HandBook-UnderGraduate-Studies.pdf"
document,What document are required for admission,"To complete your admission process, specific documents are required. Please refer to the official handbook for a detailed list of the documents needed: //ucp.edu.pk/inc/uploads/2019/08/UCP-HandBook-UnderGraduate-Studies.pdf","The documents required for admission include academic certificates, CNIC/B-Form, photographs, and other relevant documents. For a comprehensive list, please visit: //ucp.edu.pk/inc/uploads/2019/08/UCP-HandBook-UnderGraduate-Studies.pdf"
document,Which document to bring for admission,"To complete your admission process, specific documents are required. Please refer to the official handbook for a detailed list of the documents needed: //ucp.edu.pk/inc/uploads/2019/09/UCP-HandBook-UnderGraduate-Studies.pdf","The documents required for admission include academic certificates, CNIC/B-Form, photographs, and other relevant documents. For a comprehensive list, please visit: //ucp.edu.pk/inc/uploads/2019/09/UCP-HandBook-UnderGraduate-Studies.pdf"
document,documents,"To complete your admission process, specific documents are required. Please refer to the official handbook for a detailed list of the documents needed: //ucp.edu.pk/inc/uploads/2019/10/UCP-HandBook-UnderGraduate-Studies.pdf","The documents required for admission include academic certificates, CNIC/B-Form, photographs, and other relevant documents. For a comprehensive list, please visit: //ucp.edu.pk/inc/uploads/2019/10/UCP-HandBook-UnderGraduate-Studies.pdf"
document,what documents do i need,"To complete your admission process, specific documents are required. Please refer to the official handbook for a detailed list of the documents needed: //ucp.edu.pk/inc/uploads/2019/11/UCP-HandBook-UnderGraduate-Studies.pdf","The documents required for admission include academic certificates, CNIC/B-Form, photographs, and other relevant documents. For a comprehensive list, please visit: //ucp.edu.pk/inc/uploads/2019/11/UCP-HandBook-UnderGraduate-Studies.pdf"
document,what documents do I need for admission,"To complete your admission process, specific documents are required. Please refer to the official handbook for a detailed list of the documents needed: //ucp.edu.pk/inc/uploads/2019/12/UCP-HandBook-UnderGraduate-Studies.pdf","The documents required for admission include academic certificates, CNIC/B-Form, photographs, and other relevant documents. For a comprehensive list, please visit: //ucp.edu.pk/inc/uploads/2019/12/UCP-HandBook-UnderGraduate-Studies.pdf"
document,documents needed,"To complete your admission process, specific documents are required. Please refer to the official handbook for a detailed list of the documents needed: //ucp.edu.pk/inc/uploads/2019/13/UCP-HandBook-UnderGraduate-Studies.pdf","The documents required for admission include academic certificates, CNIC/B-Form, photographs, and other relevant documents. For a comprehensive list, please visit: //ucp.edu.pk/inc/uploads/2019/13/UCP-HandBook-UnderGraduate-Studies.pdf"
floors,size of campus,"The university campus is spread across a large area, offering state-of-the-art facilities and modern infrastructure. The main college building has multiple floors designed to accommodate classrooms, labs, and administrative offices. For specific details, feel free to reach out to the administration.","Our college building is designed to provide ample space for academic and extracurricular activities. It consists of X floors (provide exact number if available) and includes classrooms, laboratories, and other facilities. The campus is well-structured to support a productive learning environment."
floors,building size,"The university campus is spread across a large area, offering state-of-the-art facilities and modern infrastructure. The main college building has multiple floors designed to accommodate classrooms, labs, and administrative offices. For specific details, feel free to reach out to the administration.","Our college building is designed to provide ample space for academic and extracurricular activities. It consists of X floors (provide exact number if available) and includes classrooms, laboratories, and other facilities. The campus is well-structured to support a productive learning environment."
floors,How many floors does college have,"The university campus is spread across a large area, offering state-of-the-art facilities and modern infrastructure. The main college building has multiple floors designed to accommodate classrooms, labs, and administrative offices. For specific details, feel free to reach out to the administration.","Our college building is designed to provide ample space for academic and extracurricular activities. It consists of X floors (provide exact number if available) and includes classrooms, laboratories, and other facilities. The campus is well-structured to support a productive learning environment."
floors,floors in college,"The university campus is spread across a large area, offering state-of-the-art facilities and modern infrastructure. The main college building has multiple floors designed to accommodate classrooms, labs, and administrative offices. For specific details, feel free to reach out to the administration.","Our college building is designed to provide ample space for academic and extracurricular activities. It consists of X floors (provide exact number if available) and includes classrooms, laboratories, and other facilities. The campus is well-structured to support a productive learning environment."
floors,floors in college,"The university campus is spread across a large area, offering state-of-the-art facilities and modern infrastructure. The main college building has multiple floors designed to accommodate classrooms, labs, and administrative offices. For specific details, feel free to reach out to the administration.","Our college building is designed to provide ample space for academic and extracurricular activities. It consists of X floors (provide exact number if available) and includes classrooms, laboratories, and other facilities. The campus is well-structured to support a productive learning environment."
floors,how tall is UNI's College of Engineering college building,"The university campus is spread across a large area, offering state-of-the-art facilities and modern infrastructure. The main college building has multiple floors designed to accommodate classrooms, labs, and administrative offices. For specific details, feel free to reach out to the administration.","Our college building is designed to provide ample space for academic and extracurricular activities. It consists of X floors (provide exact number if available) and includes classrooms, laboratories, and other facilities. The campus is well-structured to support a productive learning environment."
floors,floors,"The university campus is spread across a large area, offering state-of-the-art facilities and modern infrastructure. The main college building has multiple floors designed to accommodate classrooms, labs, and administrative offices. For specific details, feel free to reach out to the administration.","Our college building is designed to provide ample space for academic and extracurricular activities. It consists of X floors (provide exact number if available) and includes classrooms, laboratories, and other facilities. The campus is well-structured to support a productive learning environment."
syllabus,Syllabus for IT,"The Information Technology (IT) syllabus includes topics such as programming languages, databases, networking, data structures, and algorithms. For a detailed syllabus, you can refer to the official academic resources or the course handbook provided by the department.","For the complete IT syllabus, including topics covered in each semester, please visit the university's course catalog or contact the IT department. For information on the upcoming lecture, please check the latest timetable or your student portal."
syllabus,what is the Information Technology syllabus,"The Information Technology (IT) syllabus includes topics such as programming languages, databases, networking, data structures, and algorithms. For a detailed syllabus, you can refer to the official academic resources or the course handbook provided by the department.","For the complete IT syllabus, including topics covered in each semester, please visit the university's course catalog or contact the IT department. For information on the upcoming lecture, please check the latest timetable or your student portal."
syllabus,syllabus,"The Information Technology (IT) syllabus includes topics such as programming languages, databases, networking, data structures, and algorithms. For a detailed syllabus, you can refer to the official academic resources or the course handbook provided by the department.","For the complete IT syllabus, including topics covered in each semester, please visit the university's course catalog or contact the IT department. For information on the upcoming lecture, please check the latest timetable or your student portal."
syllabus,timetable,"The Information Technology (IT) syllabus includes topics such as programming languages, databases, networking, data structures, and algorithms. For a detailed syllabus, you can refer to the official academic resources or the course handbook provided by the department.","For the complete IT syllabus, including topics covered in each semester, please visit the university's course catalog or contact the IT department. For information on the upcoming lecture, please check the latest timetable or your student portal."
syllabus,what is IT syllabus,"The Information Technology (IT) syllabus includes topics such as programming languages, databases, networking, data structures, and algorithms. For a detailed syllabus, you can refer to the official academic resources or the course handbook provided by the department.","For the complete IT syllabus, including topics covered in each semester, please visit the university's course catalog or contact the IT department. For information on the upcoming lecture, please check the latest timetable or your student portal."
syllabus,syllabus,"The Information Technology (IT) syllabus includes topics such as programming languages, databases, networking, data structures, and algorithms. For a detailed syllabus, you can refer to the official academic resources or the course handbook provided by the department.","For the complete IT syllabus, including topics covered in each semester, please visit the university's course catalog or contact the IT department. For information on the upcoming lecture, please check the latest timetable or your student portal."
syllabus,What is next lecture,"The Information Technology (IT) syllabus includes topics such as programming languages, databases, networking, data structures, and algorithms. For a detailed syllabus, you can refer to the official academic resources or the course handbook provided by the department.","For the complete IT syllabus, including topics covered in each semester, please visit the university's course catalog or contact the IT department. For information on the upcoming lecture, please check the latest timetable or your student portal."
library,is there any library,"Yes, our college has a well-equipped library with a vast collection of books, journals, and digital resources to support academic research and learning. You can visit the library on campus or access online resources through the student portal.","The college offers excellent library facilities, including a wide range of academic books, e-books, and journals. For more details about library services, available books, or to find the library's location, please visit the campus library or check the official website."
library,library facility,"Yes, our college has a well-equipped library with a vast collection of books, journals, and digital resources to support academic research and learning. You can visit the library on campus or access online resources through the student portal.","The college offers excellent library facilities, including a wide range of academic books, e-books, and journals. For more details about library services, available books, or to find the library's location, please visit the campus library or check the official website."
library,library facilities,"Yes, our college has a well-equipped library with a vast collection of books, journals, and digital resources to support academic research and learning. You can visit the library on campus or access online resources through the student portal.","The college offers excellent library facilities, including a wide range of academic books, e-books, and journals. For more details about library services, available books, or to find the library's location, please visit the campus library or check the official website."
library,do you have library,"Yes, our college has a well-equipped library with a vast collection of books, journals, and digital resources to support academic research and learning. You can visit the library on campus or access online resources through the student portal.","The college offers excellent library facilities, including a wide range of academic books, e-books, and journals. For more details about library services, available books, or to find the library's location, please visit the campus library or check the official website."
library,does the college have library facility,"Yes, our college has a well-equipped library with a vast collection of books, journals, and digital resources to support academic research and learning. You can visit the library on campus or access online resources through the student portal.","The college offers excellent library facilities, including a wide range of academic books, e-books, and journals. For more details about library services, available books, or to find the library's location, please visit the campus library or check the official website."
library,college library,"Yes, our college has a well-equipped library with a vast collection of books, journals, and digital resources to support academic research and learning. You can visit the library on campus or access online resources through the student portal.","The college offers excellent library facilities, including a wide range of academic books, e-books, and journals. For more details about library services, available books, or to find the library's location, please visit the campus library or check the official website."
library,where can i get books,"Yes, our college has a well-equipped library with a vast collection of books, journals, and digital resources to support academic research and learning. You can visit the library on campus or access online resources through the student portal.","The college offers excellent library facilities, including a wide range of academic books, e-books, and journals. For more details about library services, available books, or to find the library's location, please visit the campus library or check the official website."
library,book facility,"Yes, our college has a well-equipped library with a vast collection of books, journals, and digital resources to support academic research and learning. You can visit the library on campus or access online resources through the student portal.","The college offers excellent library facilities, including a wide range of academic books, e-books, and journals. For more details about library services, available books, or to find the library's location, please visit the campus library or check the official website."
library,Where is library,"Yes, our college has a well-equipped library with a vast collection of books, journals, and digital resources to support academic research and learning. You can visit the library on campus or access online resources through the student portal.","The college offers excellent library facilities, including a wide range of academic books, e-books, and journals. For more details about library services, available books, or to find the library's location, please visit the campus library or check the official website."
library,Library,"Yes, our college has a well-equipped library with a vast collection of books, journals, and digital resources to support academic research and learning. You can visit the library on campus or access online resources through the student portal.","The college offers excellent library facilities, including a wide range of academic books, e-books, and journals. For more details about library services, available books, or to find the library's location, please visit the campus library or check the official website."
library,Library information,"Yes, our college has a well-equipped library with a vast collection of books, journals, and digital resources to support academic research and learning. You can visit the library on campus or access online resources through the student portal.","The college offers excellent library facilities, including a wide range of academic books, e-books, and journals. For more details about library services, available books, or to find the library's location, please visit the campus library or check the official website."
library,Library books information,"Yes, our college has a well-equipped library with a vast collection of books, journals, and digital resources to support academic research and learning. You can visit the library on campus or access online resources through the student portal.","The college offers excellent library facilities, including a wide range of academic books, e-books, and journals. For more details about library services, available books, or to find the library's location, please visit the campus library or check the official website."
library,Tell me about library,"Yes, our college has a well-equipped library with a vast collection of books, journals, and digital resources to support academic research and learning. You can visit the library on campus or access online resources through the student portal.","The college offers excellent library facilities, including a wide range of academic books, e-books, and journals. For more details about library services, available books, or to find the library's location, please visit the campus library or check the official website."
library,how many libraries,"Yes, our college has a well-equipped library with a vast collection of books, journals, and digital resources to support academic research and learning. You can visit the library on campus or access online resources through the student portal.","The college offers excellent library facilities, including a wide range of academic books, e-books, and journals. For more details about library services, available books, or to find the library's location, please visit the campus library or check the official website."
infrastructure,how is college infrastructure,"The college boasts modern infrastructure, featuring state-of-the-art classrooms, well-equipped laboratories, sports facilities, a spacious library, and dedicated areas for extracurricular activities. The campus is designed to provide a conducive environment for learning and personal development.","Our college has excellent infrastructure, including advanced teaching facilities, comfortable study areas, and cutting-edge technology for students. The campus is well-maintained with a variety of amenities to support both academic and recreational needs."
infrastructure,infrastructure,"The college boasts modern infrastructure, featuring state-of-the-art classrooms, well-equipped laboratories, sports facilities, a spacious library, and dedicated areas for extracurricular activities. The campus is designed to provide a conducive environment for learning and personal development.","Our college has excellent infrastructure, including advanced teaching facilities, comfortable study areas, and cutting-edge technology for students. The campus is well-maintained with a variety of amenities to support both academic and recreational needs."
infrastructure,college infrastructure,"The college boasts modern infrastructure, featuring state-of-the-art classrooms, well-equipped laboratories, sports facilities, a spacious library, and dedicated areas for extracurricular activities. The campus is designed to provide a conducive environment for learning and personal development.","Our college has excellent infrastructure, including advanced teaching facilities, comfortable study areas, and cutting-edge technology for students. The campus is well-maintained with a variety of amenities to support both academic and recreational needs."
canteen,food facilities,"Yes, the college has a well-equipped canteen offering a variety of food options, including snacks, meals, and beverages. The canteen is located at [mention specific location if available] within the campus, providing students with a comfortable place to relax and enjoy meals.","Our college provides a cafeteria that serves a range of delicious and nutritious food options. It's a popular spot for students to grab a bite between classes. For details on the menu and location, you can visit the campus or check with student services"
canteen,canteen facilities,"Yes, the college has a well-equipped canteen offering a variety of food options, including snacks, meals, and beverages. The canteen is located at [mention specific location if available] within the campus, providing students with a comfortable place to relax and enjoy meals.","Our college provides a cafeteria that serves a range of delicious and nutritious food options. It's a popular spot for students to grab a bite between classes. For details on the menu and location, you can visit the campus or check with student services"
canteen,canteen facility,"Yes, the college has a well-equipped canteen offering a variety of food options, including snacks, meals, and beverages. The canteen is located at [mention specific location if available] within the campus, providing students with a comfortable place to relax and enjoy meals.","Our college provides a cafeteria that serves a range of delicious and nutritious food options. It's a popular spot for students to grab a bite between classes. For details on the menu and location, you can visit the campus or check with student services"
canteen,is there any canteen,"Yes, the college has a well-equipped canteen offering a variety of food options, including snacks, meals, and beverages. The canteen is located at [mention specific location if available] within the campus, providing students with a comfortable place to relax and enjoy meals.","Our college provides a cafeteria that serves a range of delicious and nutritious food options. It's a popular spot for students to grab a bite between classes. For details on the menu and location, you can visit the campus or check with student services"
canteen,Is there a cafetaria in college,"Yes, the college has a well-equipped canteen offering a variety of food options, including snacks, meals, and beverages. The canteen is located at [mention specific location if available] within the campus, providing students with a comfortable place to relax and enjoy meals.","Our college provides a cafeteria that serves a range of delicious and nutritious food options. It's a popular spot for students to grab a bite between classes. For details on the menu and location, you can visit the campus or check with student services"
canteen,Does college have canteen,"Yes, the college has a well-equipped canteen offering a variety of food options, including snacks, meals, and beverages. The canteen is located at [mention specific location if available] within the campus, providing students with a comfortable place to relax and enjoy meals.","Our college provides a cafeteria that serves a range of delicious and nutritious food options. It's a popular spot for students to grab a bite between classes. For details on the menu and location, you can visit the campus or check with student services"
canteen,Where is canteen,"Yes, the college has a well-equipped canteen offering a variety of food options, including snacks, meals, and beverages. The canteen is located at [mention specific location if available] within the campus, providing students with a comfortable place to relax and enjoy meals.","Our college provides a cafeteria that serves a range of delicious and nutritious food options. It's a popular spot for students to grab a bite between classes. For details on the menu and location, you can visit the campus or check with student services"
canteen,where is cafetaria,"Yes, the college has a well-equipped canteen offering a variety of food options, including snacks, meals, and beverages. The canteen is located at [mention specific location if available] within the campus, providing students with a comfortable place to relax and enjoy meals.","Our college provides a cafeteria that serves a range of delicious and nutritious food options. It's a popular spot for students to grab a bite between classes. For details on the menu and location, you can visit the campus or check with student services"
canteen,canteen,"Yes, the college has a well-equipped canteen offering a variety of food options, including snacks, meals, and beverages. The canteen is located at [mention specific location if available] within the campus, providing students with a comfortable place to relax and enjoy meals.","Our college provides a cafeteria that serves a range of delicious and nutritious food options. It's a popular spot for students to grab a bite between classes. For details on the menu and location, you can visit the campus or check with student services"
canteen,Food,"Yes, the college has a well-equipped canteen offering a variety of food options, including snacks, meals, and beverages. The canteen is located at [mention specific location if available] within the campus, providing students with a comfortable place to relax and enjoy meals.","Our college provides a cafeteria that serves a range of delicious and nutritious food options. It's a popular spot for students to grab a bite between classes. For details on the menu and location, you can visit the campus or check with student services"
canteen,Cafetaria,"Yes, the college has a well-equipped canteen offering a variety of food options, including snacks, meals, and beverages. The canteen is located at [mention specific location if available] within the campus, providing students with a comfortable place to relax and enjoy meals.","Our college provides a cafeteria that serves a range of delicious and nutritious food options. It's a popular spot for students to grab a bite between classes. For details on the menu and location, you can visit the campus or check with student services"
menu,food menu,"The college canteen offers a variety of food items including sandwiches, burgers, snacks, tea, coffee, and fresh fruit juices. Additionally, you can find main course meals, vegetarian options, and some local dishes. The menu is updated regularly to provide students with healthy and tasty choices.","Our college canteen serves a diverse menu with a wide range of options such as sandwiches, wraps, pasta, pizza, and traditional meals. You can also enjoy snacks, desserts, and refreshing drinks. The canteen caters to different tastes and dietary preferences."
menu,food in canteen,"The college canteen offers a variety of food items including sandwiches, burgers, snacks, tea, coffee, and fresh fruit juices. Additionally, you can find main course meals, vegetarian options, and some local dishes. The menu is updated regularly to provide students with healthy and tasty choices.","Our college canteen serves a diverse menu with a wide range of options such as sandwiches, wraps, pasta, pizza, and traditional meals. You can also enjoy snacks, desserts, and refreshing drinks. The canteen caters to different tastes and dietary preferences."
menu,Whats there on menu,"The college canteen offers a variety of food items including sandwiches, burgers, snacks, tea, coffee, and fresh fruit juices. Additionally, you can find main course meals, vegetarian options, and some local dishes. The menu is updated regularly to provide students with healthy and tasty choices.","Our college canteen serves a diverse menu with a wide range of options such as sandwiches, wraps, pasta, pizza, and traditional meals. You can also enjoy snacks, desserts, and refreshing drinks. The canteen caters to different tastes and dietary preferences."
menu,what is available in college canteen,"The college canteen offers a variety of food items including sandwiches, burgers, snacks, tea, coffee, and fresh fruit juices. Additionally, you can find main course meals, vegetarian options, and some local dishes. The menu is updated regularly to provide students with healthy and tasty choices.","Our college canteen serves a diverse menu with a wide range of options such as sandwiches, wraps, pasta, pizza, and traditional meals. You can also enjoy snacks, desserts, and refreshing drinks. The canteen caters to different tastes and dietary preferences."
menu,what foods can we get in college canteen,"The college canteen offers a variety of food items including sandwiches, burgers, snacks, tea, coffee, and fresh fruit juices. Additionally, you can find main course meals, vegetarian options, and some local dishes. The menu is updated regularly to provide students with healthy and tasty choices.","Our college canteen serves a diverse menu with a wide range of options such as sandwiches, wraps, pasta, pizza, and traditional meals. You can also enjoy snacks, desserts, and refreshing drinks. The canteen caters to different tastes and dietary preferences."
menu,food variety,"The college canteen offers a variety of food items including sandwiches, burgers, snacks, tea, coffee, and fresh fruit juices. Additionally, you can find main course meals, vegetarian options, and some local dishes. The menu is updated regularly to provide students with healthy and tasty choices.","Our college canteen serves a diverse menu with a wide range of options such as sandwiches, wraps, pasta, pizza, and traditional meals. You can also enjoy snacks, desserts, and refreshing drinks. The canteen caters to different tastes and dietary preferences."
menu,What is there to eat?,"The college canteen offers a variety of food items including sandwiches, burgers, snacks, tea, coffee, and fresh fruit juices. Additionally, you can find main course meals, vegetarian options, and some local dishes. The menu is updated regularly to provide students with healthy and tasty choices.","Our college canteen serves a diverse menu with a wide range of options such as sandwiches, wraps, pasta, pizza, and traditional meals. You can also enjoy snacks, desserts, and refreshing drinks. The canteen caters to different tastes and dietary preferences."
placement,What is college placement,"College placement refers to the process of securing jobs or internships for students through on-campus recruitment drives. Various leading companies from different sectors visit the college to recruit graduates. The average salary package depends on the industry and the student's skill set. For detailed placement statistics and company visits, please refer to the placement cell.","Our college has a robust placement system that connects students with top companies for internships and full-time roles. Leading national and international companies actively participate in recruitment drives. The average salary package varies, but we have seen successful placements in various fields like IT, engineering, and business"
placement,Which companies visit in college,"College placement refers to the process of securing jobs or internships for students through on-campus recruitment drives. Various leading companies from different sectors visit the college to recruit graduates. The average salary package depends on the industry and the student's skill set. For detailed placement statistics and company visits, please refer to the placement cell.","Our college has a robust placement system that connects students with top companies for internships and full-time roles. Leading national and international companies actively participate in recruitment drives. The average salary package varies, but we have seen successful placements in various fields like IT, engineering, and business"
placement,What is average package,"College placement refers to the process of securing jobs or internships for students through on-campus recruitment drives. Various leading companies from different sectors visit the college to recruit graduates. The average salary package depends on the industry and the student's skill set. For detailed placement statistics and company visits, please refer to the placement cell.","Our college has a robust placement system that connects students with top companies for internships and full-time roles. Leading national and international companies actively participate in recruitment drives. The average salary package varies, but we have seen successful placements in various fields like IT, engineering, and business"
placement,companies visit,"College placement refers to the process of securing jobs or internships for students through on-campus recruitment drives. Various leading companies from different sectors visit the college to recruit graduates. The average salary package depends on the industry and the student's skill set. For detailed placement statistics and company visits, please refer to the placement cell.","Our college has a robust placement system that connects students with top companies for internships and full-time roles. Leading national and international companies actively participate in recruitment drives. The average salary package varies, but we have seen successful placements in various fields like IT, engineering, and business"
placement,package,"College placement refers to the process of securing jobs or internships for students through on-campus recruitment drives. Various leading companies from different sectors visit the college to recruit graduates. The average salary package depends on the industry and the student's skill set. For detailed placement statistics and company visits, please refer to the placement cell.","Our college has a robust placement system that connects students with top companies for internships and full-time roles. Leading national and international companies actively participate in recruitment drives. The average salary package varies, but we have seen successful placements in various fields like IT, engineering, and business"
placement,About placement,"College placement refers to the process of securing jobs or internships for students through on-campus recruitment drives. Various leading companies from different sectors visit the college to recruit graduates. The average salary package depends on the industry and the student's skill set. For detailed placement statistics and company visits, please refer to the placement cell.","Our college has a robust placement system that connects students with top companies for internships and full-time roles. Leading national and international companies actively participate in recruitment drives. The average salary package varies, but we have seen successful placements in various fields like IT, engineering, and business"
placement,placement,"College placement refers to the process of securing jobs or internships for students through on-campus recruitment drives. Various leading companies from different sectors visit the college to recruit graduates. The average salary package depends on the industry and the student's skill set. For detailed placement statistics and company visits, please refer to the placement cell.","Our college has a robust placement system that connects students with top companies for internships and full-time roles. Leading national and international companies actively participate in recruitment drives. The average salary package varies, but we have seen successful placements in various fields like IT, engineering, and business"
placement,recruitment,"College placement refers to the process of securing jobs or internships for students through on-campus recruitment drives. Various leading companies from different sectors visit the college to recruit graduates. The average salary package depends on the industry and the student's skill set. For detailed placement statistics and company visits, please refer to the placement cell.","Our college has a robust placement system that connects students with top companies for internships and full-time roles. Leading national and international companies actively participate in recruitment drives. The average salary package varies, but we have seen successful placements in various fields like IT, engineering, and business"
placement,companies,"College placement refers to the process of securing jobs or internships for students through on-campus recruitment drives. Various leading companies from different sectors visit the college to recruit graduates. The average salary package depends on the industry and the student's skill set. For detailed placement statistics and company visits, please refer to the placement cell.","Our college has a robust placement system that connects students with top companies for internships and full-time roles. Leading national and international companies actively participate in recruitment drives. The average salary package varies, but we have seen successful placements in various fields like IT, engineering, and business"
ithod,Who is HOD,"The Head of Department (HOD) for the Information Technology department is Dr. Nauman Mazher. For any departmental inquiries, you can contact the HOD? office located in [specific location if available] within the campus.","The HOD of the Information Technology department is Dr. Nauman Mazher. If you need further assistance or wish to meet with the HOD, please visit the IT department office."
ithod,Where is HOD,"The Head of Department (HOD) for the Information Technology department is Dr. Nauman Mazher. For any departmental inquiries, you can contact the HOD? office located in [specific location if available] within the campus.","The HOD of the Information Technology department is Dr. Nauman Mazher. If you need further assistance or wish to meet with the HOD, please visit the IT department office."
ithod,it hod,"The Head of Department (HOD) for the Information Technology department is Dr. Nauman Mazher. For any departmental inquiries, you can contact the HOD? office located in [specific location if available] within the campus.","The HOD of the Information Technology department is Dr. Nauman Mazher. If you need further assistance or wish to meet with the HOD, please visit the IT department office."
ithod,name of it hod,"The Head of Department (HOD) for the Information Technology department is Dr. Nauman Mazher. For any departmental inquiries, you can contact the HOD? office located in [specific location if available] within the campus.","The HOD of the Information Technology department is Dr. Nauman Mazher. If you need further assistance or wish to meet with the HOD, please visit the IT department office."
computerhod,Who is computer HOD,"The Head of Department (HOD) for the Information Technology department is Dr. Nauman Mazher. For any departmental inquiries, you can contact the HOD? office located in [specific location if available] within the campus.","The HOD of the Information Technology department is Dr. Nauman Mazher. If you need further assistance or wish to meet with the HOD, please visit the IT department office."
computerhod,Where is computer HOD,"The Head of Department (HOD) for the Information Technology department is Dr. Nauman Mazher. For any departmental inquiries, you can contact the HOD? office located in [specific location if available] within the campus.","The HOD of the Information Technology department is Dr. Nauman Mazher. If you need further assistance or wish to meet with the HOD, please visit the IT department office."
computerhod,computer hod,"The Head of Department (HOD) for the Information Technology department is Dr. Nauman Mazher. For any departmental inquiries, you can contact the HOD? office located in [specific location if available] within the campus.","The HOD of the Information Technology department is Dr. Nauman Mazher. If you need further assistance or wish to meet with the HOD, please visit the IT department office."
